model,year,price,transmission,mileage,fuelType,tax,seat,cc
Agya  1.2 G AT,2018,115000000,Otomatis,120000,Bensin,1000000,5,1198
Agya  1.2 TRD AT TRD,2019,118000000,Otomatis,30000,Bensin,1000000,5,998
Agya  E M/T,2015,87000000,Manual,119000,Bensin,1000000,5,998
Agya  G A/T,2014,80000000,Otomatis,92000,Bensin,1000000,5,1331
Agya 1.0L G A/T,2017,95000000,Otomatis,113000,Bensin,1000000,5,998
Agya 1.0L G A/T,2014,85000000,Otomatis,78958,Bensin,1000000,5,998
Agya 1.0L G A/T,2014,98000000,Otomatis,79000,Bensin,1000000,5,998
Agya 1.0L G A/T,2016,105000000,Otomatis,97000,Bensin,1000000,5,998
Agya 1.0L G A/T,2015,86000000,Otomatis,82000,Bensin,1000000,5,998
Agya 1.0L G A/T,2014,98000000,Otomatis,79000,Bensin,1000000,5,998
Agya 1.0L G A/T,2016,105000000,Otomatis,97000,Bensin,1000000,5,998
Agya 1.0L G A/T,2015,86000000,Otomatis,82000,Bensin,1000000,5,998
Agya 1.0L G M/T,2016,100000000,Manual,9900,Bensin,1000000,5,998
Agya 1.0L G M/T,2016,100000000,Manual,9900,Bensin,1000000,5,998
Agya 1.2L G A/T,2023,160000000,Otomatis,7236,Bensin,1000000,5,1197
Agya 1.2L G AT TRD,2017,115000000,Otomatis,82126,Bensin,1200000,5,998
Agya 1.2L G AT TRD,2020,188000000,Otomatis,30000,Bensin,1000000,5,1198
Agya 1.2L G M/T,2023,135000000,Manual,6601,Bensin,1000000,5,1198
Agya 1.2L G M/T,2019,122000000,Manual,41409,Bensin,1000000,5,1198
Agya 1.2L G M/T,2023,135000000,Manual,6601,Bensin,1000000,5,1198
Agya 1.2L G M/T,2019,122000000,Manual,41409,Bensin,1000000,5,1198
Agya 1.2L GR Sport M/T,2021,139500000,Manual,13000,Bensin,1000000,5,1198
Agya G A/T,2014,80000000,Otomatis,92000,Bensin,1000000,5,998
Alphard  2.5 G A/T,2019,825000000,Manual,60000,Bensin,1000000,7,2494
Alphard  2.5 G A/T,2019,1002000000,Otomatis,10000,Bensin,1000000,7,2494
Alphard 2.5 G A/T,2019,825000000,Otomatis,60000,Bensin,20000000,7,2494
Alphard 2.5 G A/T,2019,1002000000,Otomatis,10000,Bensin,20000000,7,2494
Alphard 2.5L G CVT,2019,895000000,Manual,43006,Bensin,20000000,6,2498
Alphard 2.5L G CVT,2019,895000000,Manual,43006,Bensin,8000000,6,2498
Alphard 2.5L X CVT,2012,270000000,Manual,70012,Bensin,20000000,6,2498
Alphard 2.5L X CVT,2012,288000000,Manual,70065,Bensin,20000000,6,2498
Alphard 2.5L X CVT,2012,270000000,Manual,70012,Bensin,20000000,6,2498
Alphard 2.5L X CVT,2012,288000000,Manual,70065,Bensin,20000000,6,2498
Avanza  1.3 G MT,2012,105000000,Manual,121210,Bensin,1500000,7,1329
Avanza 1.3 E CVT,2021,238000000,Automatic,123456,Bensin,2500000,7,1329
Avanza 1.3E MT,2018,145000000,Manual,77000,Bensin,2000000,7,1329
Avanza 1.3G AT,2017,137500000,Otomatis,147814,Bensin,1500000,7,1329
Avanza 1.3G AT,2016,132000000,Otomatis,90000,Bensin,1000000,7,1329
Avanza 1.3G AT,2011,88000000,Otomatis,120000,Bensin,1200000,7,1329
Avanza 1.3G AT,2020,163000000,Otomatis,82000,Bensin,2000000,7,1329
Avanza Veloz  1.5 M/T,2014,122000000,Manual,105000,Bensin,2000000,7,1496
Avanza Veloz  1500 VELOZ A/T LUX,2014,130000000,Otomatis,96000,Bensin,2000000,7,1332
Calya  G AT,2016,104000000,Otomatis,80000,Bensin,1000000,7,1197
Calya  G AT,2016,115000000,Otomatis,70000,Bensin,1000000,7,1197
Calya  G AT,2016,105000000,Otomatis,26000,Bensin,1000000,7,1197
Calya  G AT,2016,110000000,Otomatis,66510,Bensin,1000000,7,1197
Calya  G AT,2017,115000000,Otomatis,20000,Bensin,1000000,7,1197
Calya  G AT,2023,125000000,Otomatis,76000,Bensin,1000000,7,1197
Calya  G MT,2017,122000000,Manual,60000,Bensin,1000000,7,1197
Calya E MT,2022,125000000,Manual,9132,Bensin,1000000,7,1197
Calya G AT,2016,102500000,Otomatis,105000,Bensin,1000000,7,1197
Calya G AT,2023,138000000,Otomatis,3000,Bensin,1000000,7,1197
Calya G AT,2020,147500000,Otomatis,17100,Bensin,1000000,7,1197
Calya G AT,2016,105000000,Otomatis,51865,Bensin,1000000,7,1197
